_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
650836f3b3a5cd152686b6a9||115.58|94.77|124.58|78.14|578,12,5,3|time|60|-1|53|60.01|0|491.31|false|false|english|none|normal|false|false|false||1695037171000
650829b5b3a5cd152669b6c8||115.17|95.18|122.37|78.36|576,14,2,0|time|60|-1|8|60.02|0|53.64|false|false|english|none|normal|false|false|false||1695033781000
650565afb3a5cd1526bc5511||106.99|95.88|114.79|76.75|535,8,1,3|time|60|-1|29|60|0|189.92|false|false|english|none|normal|false|false|false||1694852527000
65056066b3a5cd1526adf144|true|125.99|98.3|128.79|81.5|630,4,0,1|time|60|-1|12|60|0|110.07|false|false|english|none|normal|false|false|false||1694851174000
65041730b3a5cd15260c780f||114.39|95.91|119.19|74.61|572,9,0,1|time|60|-1|6|60|0|43.66|false|false|english|none|normal|false|false|false||1694766896000
6503bbd6b3a5cd152650c47c||104.58|94.26|110.98|74.35|523,8,0,3|time|60|-1|6|60.01|0|21.87|false|false|english|none|normal|false|false|false||1694743510000
6503bb71b3a5cd152650c1e4||101.79|94.11|113.39|77.13|509,17,1,1|time|60|-1|1|60|0|5.72|false|false|english|none|normal|false|false|false||1694743409000
6503bb2cb3a5cd152650c022||102.59|95|110.19|73.42|513,10,4,2|time|60|-1|4|60.01|0|29.28|false|false|english|none|normal|false|false|false||1694743340000
6503ba4fb3a5cd1526499ba6||109.99|95.9|114.79|79.1|550,8,1,2|time|60|-1|2|60|0|18.5|false|false|english|none|normal|false|false|false||1694743119000
65031f31b3a5cd15260a9727||113.19|95.97|116.99|72.32|566,9,0,7|time|60|-1|5|60|0|12.37|false|false|english|none|normal|false|false|false||1694703409000
65031e7db3a5cd15260a8cd2||116.4|96.62|122.2|77.77|582,8,0,2|time|60|-1|2|60|0|15.84|false|false|english|none|normal|false|false|false||1694703229000
